% Model:              Transmission rate calculation.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 10 2025, 10:00
% Table:              目标表面 - 目标表面
% B1 (mm)                freq (Hz)                abs(comp1.w) (m)
61                       23000                    6.309231874283416E-7
61                       24000                    5.440690378133129E-7
61                       25000                    3.5208689848451327E-7
61                       26000                    4.3183986926003544E-7
61                       27000                    8.027676123886105E-7
61                       28000                    9.450832182510448E-7
61                       29000                    8.028112683957129E-7
61                       30000                    8.178568994546965E-7
61                       31000                    9.799670391504145E-7
61                       32000                    1.4568566596539342E-6
61                       33000                    1.5262107179943279E-6
61                       34000                    9.940045128969918E-7
61                       35000                    8.818269284301307E-7
61                       36000                    1.1632305391632898E-6
61                       37000                    2.1193130877327156E-6
61                       38000                    1.282861739335048E-6
61                       39000                    8.616003377233598E-7
61                       40000                    8.7545844049161E-7
61                       41000                    1.3629309628749734E-6
61                       42000                    1.9747240528929624E-6
61                       43000                    9.981033977673614E-7
61                       44000                    7.46730513735857E-7
61                       45000                    8.154446267273904E-7
61                       46000                    1.3539905302779526E-6
61                       47000                    1.7334026253529155E-6
61                       48000                    8.929530879135897E-7
61                       49000                    6.942801735256128E-7
61                       50000                    7.749723105789951E-7
61                       51000                    1.285071716782132E-6
61                       52000                    1.591755463503372E-6
61                       53000                    8.554638951998687E-7
61                       54000                    6.742647790045646E-7
61                       55000                    7.607635718103542E-7
61                       56000                    1.289243739181728E-6
61                       57000                    1.4683584407115682E-6
61                       58000                    7.866721481863497E-7
61                       59000                    6.428485731609981E-7
61                       60000                    7.841482834127633E-7
61                       61000                    1.4596145520954867E-6
61                       62000                    1.0631295421873235E-6
61                       63000                    6.842143590363479E-7
61                       64000                    9.012363891360293E-7
61                       65000                    7.408448245185319E-7
61                       66000                    2.965862325757758E-7
61                       67000                    7.57727924904434E-7
61                       68000                    1.5120058122859934E-7
61                       69000                    5.062738465915206E-7
61                       70000                    1.2850102442766861E-6
61                       71000                    1.9172222929164068E-7
61                       72000                    6.150739937880821E-7
61                       73000                    6.410327958490017E-7
61                       74000                    7.6473661920411E-7
61                       75000                    4.943429494294321E-7
61                       76000                    6.372564987627566E-7
61                       77000                    1.2908662844984663E-6
61                       78000                    1.3080626594670815E-6
61                       79000                    7.675588160008319E-7
61                       80000                    6.396659710384818E-7
61                       81000                    7.413994308614025E-7
61                       82000                    1.1549232533034484E-6
61                       83000                    1.2715501978003465E-6
61                       84000                    8.696693442476905E-7
61                       85000                    7.039104153933956E-7
61                       86000                    7.935024221231213E-7
